3452742,2,First Uphill Malabo II,0,NC,1.1,3.74031881,8.725480145,3.738587684,8.744646666,25.5,2,2153.5,}oyUgegt@?uBDe@AcC@iADu@Ac@BMCg@DsA@cABICe@@q@De@AK@MEaBHmBAYHe@AiBB_A?o@DMGoAFIBg@?yAJgDC{@F{DBWA[F}@?w@Dc@BeCNyB?g@L{AHgBL}Bh@_GBu@\wC@]Fa@J}AHk@Rq@TgB@i@Ju@Ps@BWNg@BQ,FALSE,324.5555556,320.1777778,282,282,148.716816,130.3256245,
6804636,2,Presidential Airport Road,0,NC,1.4,3.755828,8.718505,3.749374,8.711135,14.7,2,1077.7,{p|Usyet@nBvBLRlClCtA|AJNh@f@fBtBnDvDJNb@b@HNdAjAtAxAHRRVZZ|AfB~@~@d@j@lApAd@|@DPBf@FR,FALSE,157.9803922,157.9803922,144,144,47.16158714,47.16158714,
3452777,2,2nd to 3rd Circles,0,NC,-1,3.732771306,8.760721688,3.737276783,8.793465509,41.2,2,4324,y`xUoant@GOAy@Nq@@O?]LsAJoBLcARgE?u@FKAeABy@A{@NyEBiFFgB?iBCMDm@GcDDoBC{@HaB?{@A]Ge@A{@Hk@Fy@DMDkBJuAHu@Ri@HqAPcAPkBTuA`@oDn@{DFe@l@}BV}A|@kDTeAhAuDb@gBHg@`@wAf@aB^uA\{@b@wA\oBRkBJiA@c@AgACs@Da@?YEcA@]EW@YEw@YwBi@oCc@wAq@_BgAoBiAaBcDkDgA}@qBkAa@Yq@]u@c@MCiAe@}Ac@{@M}A[cCWaEOaEIoAG,FALSE,450.1282051,449.2564103,425,425,103.2398699,101.937064,
3452820,2,Uphill to Sofitel Sipopo,0,NC,1.4,3.764051749,8.897141022,3.753049985,8.903657438,31.5,2,1457.8,id~Ucvhu@`@y@d@s@h@gA`BwBnCmCrAcAn@_@t@i@|A{@|CqAlCy@n@OhBo@VEf@U^Kj@U`@Ij@OhBk@|Ak@pBi@|DoAj@OvEwA`Cq@,FALSE,189.027027,189.027027,170,170,59.8897575,59.8897575,
7038973,2,Malabo 2 to Luba Road,0,NC,2,3.739075,8.72299,3.723282,8.723148,46.6,2,2162.8,ehyUsuft@t@TjCfAr@R~@b@^Fd@PRB|Bp@d@DbDr@xAPf@BfCTl@?z@Dx@HXA~BJ~FAn@Bl@JXCl@Ux@QtEc@nASlBe@tCi@`Ba@nE}@|DcA~@Mb@ANEdAQfBSX?,FALSE,286.8,286.8,283,283,37.78571159,37.78571159,
3452847,2,Sipopo to Peaje,0,NC,0,3.752726714,8.904320618,3.747738666,8.811656768,57.1,2,11584.4,o}{U_cju@_@t@oBx@eAVwPbF}G|BsAh@O@_@F}@^qCz@aA\O@MD{Af@YP[Hu@`@gAt@IBsBxAu@p@u@v@g@`@GLu@r@e@j@uBlD{AlDi@zAIFENKbAYl@g@|BGj@Mx@KfAGhAGlCK`C@`@El@GzCIpA[nJGjEAfB@pCFnAEb@FjANxA@|@JdBFh@HZFfANnAl@nDn@jC\fA?NFLJr@Pf@?NAPNvAFNJx@LfC?N@TMhD@`AFnAPxA^`Bb@jADXJVb@x@NNTb@b@b@h@t@Zh@BH\f@`AnAzB~CVZ^h@Vh@VZPZ^d@d@r@TRf@z@b@d@JVPTBJPRR^h@n@n@z@LV~@pADJd@p@f@~@v@zAZ|@\lA\xARhAX`AHr@?b@JpABtA?f@I|AC~AI\Gr@YbBqAfFUfAg@|COdBKpBA~CDbBLhBARBN@z@RxA?PHn@LfEL`BDjBD`ATbDJl@DfAFj@?j@H|@Bn@Hn@HtCTdDBv@Jz@F|@VxAr@~C~@bCvArC\j@|ApBlC`Cp@x@j@v@f@z@b@n@d@dAl@fBx@tDHd@FVhA~FVx@Lv@JXb@lC\pAVzAZzANfAT~@RbAFLj@nEJbBT~BBt@AH@f@JhADxBDr@@nALxBH`FHt@DbBNhBLjAv@nE^nCXrADb@ZrAANJr@|@pFf@vD~@rERhBV|A?NTfA\bCR~@VpBP|@`B|JHv@XjB@TNp@LzALh@Bz@En@BvAC~AB\CXLvB@hACr@B~BHpB,FALSE,1602.486486,1524,1402,1389,479.3467188,369.9650824,
4885818,2,Segment,1,4,7.9,3.721453,8.922368,3.707192,8.913345,150.1,2,1903.5,azuUwsmu@lDKnBLxEv@|CpAAClB|Az@x@Zb@d@j@HDTf@T\RT\l@NPXl@d@n@JTX`@PJd@r@LLVd@d@j@ZVh@h@dA`A|@r@bAf@~@l@t@RhCXnCYhDCdAF`@HvAPj@Rb@JjAd@xChBRP|@fAJT\^Pd@PXZ`AJN\rANv@Lb@,FALSE,660.4666667,648.9333333,658,648,85.82607736,71.49122712,
2581099,2,Segment,2,3,8.4,16.850416,53.712498,16.844624,53.695952,162,2,1918,abzeBavyfIfAjF`Ilb@f@`C|@tDbBrG~AlF~@nCxBdGbDpJp@dC`AhE,FALSE,760.0333333,751.4,767,767,126.8312483,108.2449691,
3392039,2,Segment,1,4,5.9,17.23036353,54.07515957,17.24369092,54.07296963,99.8,2,1699.9,whdhBup`iIoAf@wA^sBVKEm@DYAwBh@{AR}@Tw@Ju@PcA`@UDo@XUL]Ji@ZOHONc@Ra@ZoBnAML]RYTUJOLa@Xk@f@k@^aAl@e@^cAn@yAp@iA\]DSFk@Fy@Fm@@s@E{@B_BU]K_@IIGc@KUKi@WgAq@y@k@y@u@GI?E_@]c@{@SSOm@Wg@,FALSE,517.3333333,500.1666667,566,566,274.3961046,240.006192,
2581098,2,Segment,3,2,9.3,16.863748,53.719059,16.854977,53.720735,446.7,2,4785.9,ku|eBa_{fIuE`CmAd@y@`@a@^AXRPXClCqAxCmAbBa@xAY^BAZMHiAX_A\c@\a@l@]`AKt@BdALj@HH^CLYPmARk@Zc@^_@ZS`@S`A]dAe@VWT[Na@l@qB\q@La@NQb@y@FY@a@KwB@c@EeAFeALy@B{@KwA?k@@UVGLLTtBLf@LjA?^Kj@?TETAZHX?TNx@DzAC\YxAe@fBMj@Dl@Ll@THRKF]?k@De@Je@^iAP{@FaAFyBLa@l@yAPm@FaAAoACg@MmACe@TQXJ^`AVPZd@lA~DRnCVfBTt@R`@h@p@n@fAHVJnAXn@?RDFg@fAE\a@d@Mn@NLRCNYAk@Bs@LaAPo@Ds@F]JgBWw@g@w@O[o@i@U]I_@Ce@GmHHg@TADRGnA@j@HhAf@zCb@r@j@\r@J~GBp@Cp@Gr@M^Qr@O,FALSE,2171.205882,1962.823529,2019,1922,649.6216899,352.0833349,
2581095,2,Segment,2,3,7.1,16.8815,53.775103,16.876436,53.755663,170.8,2,2405.2,kd`fBk}egIHfXBlCDdAHz@Jp@T|@Xx@Td@nAvBnErGfApAp@p@nEnDXf@J`@En@Od@iBbCQ\Md@?n@Fh@Nh@P\TV^Vj@T~A^d@XR`@B\A`@Il@Cb@@r@Lj@R\JXX^L^lAxBP`@L~@@b@A`@Un@e@z@c@`AEl@?`@X~F@p@,FALSE,833.7142857,776.0571429,751,751,385.7574791,154.8101036,
2581100,2,Segment,3,2,8.3,16.841508,53.690295,16.830789,53.66233,360.5,2,4345.1,kjxeBikufItA|CbBlE`JtYjArDjA|D|AnErAbD|AfDlN`Yt@vAtAzBvAvBbC~CdCtCvHxHdD`DlAvA`@j@r@nAb@`A`@lAz@xEELWCEGQi@u@eBe@i@o@c@YMq@Qw@Go@My@KaASu@W{BqA[K[LCZRXt@f@d@TrA`Al@Xj@h@d@x@^`ADXGjBNpAd@tARz@?^CXGZYbAs@tBw@vBaAtB{@dB,FALSE,1839.407407,1634.703704,1752,1726,380.6017905,327.030502,
5957813,2,Ouaga crit,0,NC,0,12.373102,-1.511429,12.37317,-1.511066,8.7,2,5161,{rojAlefHc@aDc@cAoAGyARkGl@uDh@aBPaBT{AVgAEu@w@{BwCi@eA`@}@fAUrN_CtAUnA]tJkAvMoBxDg@pDo@vASrAQrAEpARdAp@n@hAXrAh@fDNnA|BxOrAxJd@|DtArJPtAVfDE|@u@b@kARwAN{Df@wAPaSpC{AFq@aAQyAk@oDe@uDWwAYsAi@cDwAcLYgC[eBK{A?m@Im@,FALSE,424.3529412,424.3529412,421,421,24.83342429,24.83342429,
